                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.52,                 57.251,                 1.0829,                  4e-05,                0.01282,                  2e-05,                  1e-05,                 2.6018,                    nan,                0.99834,             0.00064912,             0.00064912,             0.00064912
                      2,                 2.4299,                 3.3496,                0.92433,                  4e-05,                0.01282,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0012507,              0.0012507,              0.0012507
                      3,                 2.4307,                 2.5994,                0.91799,                0.12542,                0.03846,                0.02084,                0.01276,                 1.8285,                   11.4,                0.90674,              0.0017862,              0.0017862,              0.0017862
                      4,                 2.3966,                 2.5554,                0.91824,                  6e-05,                0.01282,                  3e-05,                  1e-05,                0.95332,                    nan,                0.35167,               0.001703,               0.001703,               0.001703
                      5,                  2.307,                 2.5294,                0.90931,                0.31351,                 0.2401,                0.19651,                0.07953,                  2.685,                 3.3004,                0.95655,               0.001604,               0.001604,               0.001604
                      6,                 2.1308,                 2.2709,                0.89716,                0.45999,                0.22937,                 0.2417,                0.11027,                 2.0817,                 2.6025,                0.89574,               0.001505,               0.001505,               0.001505
                      7,                 2.1113,                 2.2111,                  0.892,                 0.5292,                0.33333,                0.33797,                0.14743,                  2.219,                 2.6125,                0.90049,               0.001406,               0.001406,               0.001406
                      8,                 2.0096,                 2.0814,                 0.8892,                0.64752,                0.32979,                0.37155,                0.17468,                 1.9423,                 2.2553,                0.89495,               0.001307,               0.001307,               0.001307
                      9,                 1.9796,                  1.791,                0.86892,                0.55613,                0.38553,                0.38298,                0.18148,                   2.15,                  2.131,                0.90013,               0.001208,               0.001208,               0.001208
                     10,                 1.9104,                 1.8388,                0.85742,                 0.6063,                0.38462,                0.45896,                0.23593,                 1.9792,                 2.0678,                0.87539,               0.001109,               0.001109,               0.001109
                     11,                 1.8202,                 1.7235,                0.86588,                0.74978,                    0.5,                0.54609,                0.25991,                 2.0691,                 1.6941,                0.88111,                0.00101,                0.00101,                0.00101
                     12,                 1.7962,                 1.7041,                 0.8669,                0.49751,                0.47436,                0.48007,                0.23949,                 1.9453,                 1.7529,                0.87351,               0.000911,               0.000911,               0.000911
                     13,                 1.7296,                  1.618,                0.86392,                0.47516,                0.48749,                0.45722,                0.23292,                 1.9888,                 2.2262,                0.87363,               0.000812,               0.000812,               0.000812
                     14,                  1.607,                  1.449,                0.85264,                0.79594,                0.42308,                0.54579,                0.23871,                 2.2349,                 1.6956,                 0.8856,               0.000713,               0.000713,               0.000713
                     15,                 1.5884,                 1.3886,                0.84321,                0.77351,                    0.5,                 0.5986,                 0.3033,                  1.947,                 1.4204,                0.86349,               0.000614,               0.000614,               0.000614
                     16,                 1.5499,                 1.2543,                0.83989,                 0.7674,                0.59219,                0.66266,                0.37085,                 1.8598,                 1.2523,                0.85536,               0.000515,               0.000515,               0.000515
                     17,                 1.5142,                  1.209,                0.83076,                 0.7066,                0.61755,                0.69299,                0.38037,                 1.7774,                 1.2767,                0.85621,               0.000416,               0.000416,               0.000416
                     18,                 1.4903,                 1.1923,                0.83687,                0.74007,                0.64103,                0.68836,                0.39404,                 1.6763,                 1.1923,                0.84555,               0.000317,               0.000317,               0.000317
                     19,                 1.4433,                 1.0749,                0.84087,                0.78701,                0.58974,                 0.6925,                0.38125,                 1.6735,                 1.1946,                0.84687,               0.000218,               0.000218,               0.000218
                     20,                 1.4427,                 1.0193,                0.83495,                0.76301,                0.61918,                0.71354,                0.41107,                 1.6205,                 1.1085,                0.84269,               0.000119,               0.000119,               0.000119
