                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9956,                 2.9235,                  3.625,                0.28838,                   0.68,                0.30778,                0.07353,                 1.5844,                 3.0582,                 3.5946,                0.00012,                0.00012,                0.00012
                      2,                 1.3643,                 2.1064,                 3.0419,                0.65981,                0.85366,                0.79503,                0.20355,                 1.2617,                 3.6231,                 3.1851,             0.00024713,             0.00024713,             0.00024713
                      3,                 1.0085,                 1.5316,                 2.7169,                0.71088,                      1,                0.90047,                0.46961,                0.98941,                 1.8229,                 2.7874,              0.0003604,              0.0003604,              0.0003604
                      4,                0.97395,                 1.3405,                 2.5646,                0.92222,                      1,                0.96163,                0.59269,                  1.016,                 1.6101,                 2.8142,             0.00045981,             0.00045981,             0.00045981
                      5,                0.94643,                  1.206,                 2.4484,                0.95775,                      1,                0.99192,                0.77945,                0.68711,                 1.2793,                 2.4025,             0.00054536,             0.00054536,             0.00054536
                      6,                0.88182,                 1.0568,                 2.5861,                0.92411,                0.97453,                0.99204,                0.77159,                0.86072,                  1.166,                 2.6172,             0.00061705,             0.00061705,             0.00061705
                      7,                0.82547,                0.92457,                 2.3618,                0.97935,                      1,                  0.995,                0.83837,                0.72312,                 1.7681,                 2.4226,             0.00067488,             0.00067488,             0.00067488
                      8,                0.84045,                0.88066,                 2.4693,                0.99102,                      1,                  0.995,                0.64108,                 1.1574,                 1.6769,                 2.8823,             0.00071885,             0.00071885,             0.00071885
                      9,                0.83585,                0.79192,                  2.229,                0.99789,                      1,                  0.995,                0.77394,                 0.9496,                 1.1665,                 2.8276,             0.00074896,             0.00074896,             0.00074896
                     10,                0.78169,                0.78263,                 2.1995,                0.99789,                      1,                  0.995,                0.87359,                0.62599,                 0.9571,                 2.2211,             0.00076521,             0.00076521,             0.00076521
                     11,                0.79347,                 1.3987,                 2.3335,                0.99795,                      1,                  0.995,                0.96221,                0.41948,                0.77653,                 1.9522,              0.0007676,              0.0007676,              0.0007676
                     12,                  0.664,                 1.0831,                 2.3652,                0.99766,                      1,                  0.995,                0.89619,                0.53087,                0.76062,                 1.9587,             0.00075613,             0.00075613,             0.00075613
                     13,                0.61667,                0.93402,                  2.078,                0.99772,                      1,                  0.995,                0.89026,                0.56968,                0.71801,                 2.0418,              0.0007308,              0.0007308,              0.0007308
                     14,                0.53944,                0.79364,                 2.0083,                0.99742,                      1,                  0.995,                0.89567,                 0.4466,                  0.584,                 1.8699,             0.00069161,             0.00069161,             0.00069161
                     15,                0.54502,                0.74212,                   2.01,                0.99762,                      1,                  0.995,                0.96673,                0.31876,                0.62159,                 1.7365,               0.000614,               0.000614,               0.000614
                     16,                0.56619,                 0.7344,                 1.9811,                0.99781,                      1,                  0.995,                0.98925,                0.30354,                0.55305,                 1.7652,               0.000515,               0.000515,               0.000515
                     17,                0.45984,                0.65601,                 1.7993,                0.99783,                      1,                  0.995,                  0.995,                0.27326,                0.50959,                 1.7321,               0.000416,               0.000416,               0.000416
                     18,                0.44113,                0.64036,                 1.7919,                0.99786,                      1,                  0.995,                0.96093,                0.35127,                0.51152,                 1.7365,               0.000317,               0.000317,               0.000317
                     19,                0.48601,                0.65225,                 1.8863,                0.99798,                      1,                  0.995,                 0.9239,                0.38217,                0.52882,                 1.7875,               0.000218,               0.000218,               0.000218
                     20,                0.42067,                0.61271,                 1.7732,                0.99802,                      1,                  0.995,                0.97391,                0.31024,                0.47131,                 1.6943,               0.000119,               0.000119,               0.000119
