                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0541,                 1.5483,                 1.0579,                0.81971,                0.82169,                0.78315,                0.50931,                0.94439,                 4.5163,                0.95602,                0.00028,                0.00028,                0.00028
                      2,                  1.021,                0.79155,                0.99307,                0.77498,                0.82651,                0.80839,                0.55595,                0.99091,                 1.0624,                 1.0206,             0.00055129,             0.00055129,             0.00055129
                      3,                0.99015,                0.87138,                 1.0166,                 0.0237,                 0.6747,                0.01989,                0.01376,                 1.0384,                    inf,                 1.7582,             0.00079288,             0.00079288,             0.00079288
                      4,                 1.0192,                0.71186,                 1.0029,                0.82534,                0.79036,                0.79631,                0.55391,                 1.0028,                 1.2746,                 1.0551,              0.0010048,              0.0010048,              0.0010048
                      5,                 1.0443,                0.72485,                 1.0288,                0.78956,                0.78554,                0.79612,                0.54477,                 0.9907,                  2.109,                 1.0458,               0.001187,               0.001187,               0.001187
                      6,                 1.0184,                0.71692,                 1.0165,                0.62657,                0.69137,                0.58043,                0.41977,                0.97676,                 1.6158,                 1.0754,              0.0013394,              0.0013394,              0.0013394
                      7,                 0.9781,                 0.6787,                 1.0072,                0.86356,                0.85783,                0.86615,                0.61771,                0.98917,                0.84684,                 1.0827,               0.001406,               0.001406,               0.001406
                      8,                0.95241,                0.64967,                 1.0023,                0.86278,                0.84096,                0.83408,                0.59724,                0.96223,                    1.2,                 1.0497,               0.001307,               0.001307,               0.001307
                      9,                 0.9439,                 0.6176,                0.99972,                0.87804,                0.82169,                0.85268,                0.61769,                0.96426,                0.73001,                 1.0536,               0.001208,               0.001208,               0.001208
                     10,                0.89275,                0.57637,                0.97084,                0.88149,                0.86029,                 0.8851,                0.63171,                 0.9393,                0.70096,                 1.0748,               0.001109,               0.001109,               0.001109
                     11,                0.85835,                0.57507,                0.97863,                   0.85,                0.88754,                0.89477,                 0.6719,                0.86647,                0.76754,                 1.0133,                0.00101,                0.00101,                0.00101
                     12,                0.83591,                0.56551,                0.96315,                0.89933,                0.90414,                 0.9061,                0.67531,                0.84874,                0.68568,                 1.0121,               0.000911,               0.000911,               0.000911
                     13,                0.81517,                0.53864,                0.96966,                 0.8971,                0.90361,                0.90642,                0.69011,                0.83359,                0.60217,                 1.0074,               0.000812,               0.000812,               0.000812
                     14,                0.77996,                0.52049,                0.95513,                0.90473,                0.92048,                0.92057,                0.71378,                0.81976,                0.54806,                0.99633,               0.000713,               0.000713,               0.000713
                     15,                0.77089,                0.50338,                0.94724,                0.91925,                0.90521,                0.92414,                0.72847,                0.76942,                0.53759,                0.98316,               0.000614,               0.000614,               0.000614
                     16,                 0.7653,                0.50743,                0.94249,                0.93265,                0.90092,                0.93299,                0.73495,                0.78163,                0.51222,                0.98917,               0.000515,               0.000515,               0.000515
                     17,                0.71684,                0.47243,                0.93326,                0.91665,                0.91807,                0.92994,                0.73271,                0.76189,                 0.5198,                0.97724,               0.000416,               0.000416,               0.000416
                     18,                0.69951,                0.45861,                 0.9248,                0.91593,                0.91889,                0.92915,                0.73754,                0.77115,                 0.4936,                0.98315,               0.000317,               0.000317,               0.000317
                     19,                0.67449,                0.44084,                0.90699,                0.90679,                0.93253,                 0.9298,                0.75308,                0.74286,                0.48911,                0.96459,               0.000218,               0.000218,               0.000218
                     20,                0.69505,                0.44407,                0.91534,                 0.9054,                0.93012,                0.92924,                0.76367,                   0.73,                0.47979,                0.96063,               0.000119,               0.000119,               0.000119
