filename,filepath,bounding_boxes,xyz_positions
camcourt1_1512760174441_0.png,data/KS-FR-STCHAMOND/24320/camcourt1_1512760174441_0.png,"[[0.6591748768472906, 0.37763371150729336, 0.01539408866995074, 0.07617504051863858]]","[[694.2688390833725, 65.61677260331226, -180.0]]"
camcourt2_1512760174441_0.png,data/KS-FR-STCHAMOND/24320/camcourt2_1512760174441_0.png,"[[0.48460591133004927, 0.40640194489465153, 0.0332512315270936, 0.06888168557536467], [0.3583743842364532, 0.3881685575364668, 0.019704433497536946, 0.07941653160453808], [0.3241995073891626, 0.5972447325769854, 0.04002463054187192, 0.1458670988654781], [0.7543103448275862, 0.4011345218800648, 0.023399014778325122, 0.09562398703403566], [0.6905788177339901, 0.40478119935170176, 0.03017241379310345, 0.08670988654781199], [0.34451970443349755, 0.4728525121555916, 0.02647783251231527, 0.10291734197730956], [0.44150246305418717, 0.4145056726094003, 0.029556650246305417, 0.08995137763371151], [0.5387931034482759, 0.40235008103727715, 0.02832512315270936, 0.07860615883306321], [0.5184729064039408, 0.4906807131280389, 0.06280788177339902, 0.11426256077795786], [0.45689655172413796, 0.4485413290113452, 0.03694581280788178, 0.10777957860615883], [0.5384852216748769, 0.47568881685575365, 0.03633004926108374, 0.11831442463533225], [0.21089901477832512, 0.5490275526742301, 0.037561576354679806, 0.14505672609400325], [0.5920566502463054, 0.5259319286871961, 0.04125615763546798, 0.13290113452188007], [0.7835591133004927, 0.38695299837925445, 0.025246305418719212, 0.0640194489465154]]","[[362.794699732086, 579.1278461732304, -180.0], [-71.00626923119535, 472.54929803724735, -180.0], [582.9856378760569, 1522.257136896756, -180.0], [1022.8817751357276, 226.42900489282738, -179.99999999999994], [868.1939265950273, 357.39921202034566, -180.00000000000006], [310.1437702550629, 1048.2480653127545, -180.0], [309.790118034286, 586.2540773568319, -179.99999999999994], [504.637915066844, 469.4080106422771, -180.0], [719.926787791203, 1010.0081719899845, -180.0], [454.6368497568319, 805.8054763059934, -180.0], [667.6096538438564, 925.6385286000591, -180.0], [261.4971020032176, 1426.0653831676718, -180.0], [877.611016460259, 1109.8791855067702, -180.0], [1079.0461967034405, 200.69261565505758, -180.00000000000006]]"
camcourt2_1512761974116_0.png,data/KS-FR-STCHAMOND/24320/camcourt2_1512761974116_0.png,"[[0.6268472906403941, 0.5587520259319287, 0.038177339901477834, 0.11912479740680713], [0.5560344827586207, 0.4554294975688817, 0.034482758620689655, 0.12155591572123177], [0.4535098522167488, 0.4878444084278768, 0.05726600985221675, 0.10696920583468396], [0.22475369458128078, 0.5178282009724473, 0.046798029556650245, 0.12965964343598055], [0.5455665024630542, 0.5603727714748784, 0.04310344827586207, 0.1353322528363047], [0.15578817733990147, 0.546191247974068, 0.029556650246305417, 0.14424635332252836], [0.6533251231527094, 0.6057536466774717, 0.0665024630541872, 0.1353322528363047], [0.41133004926108374, 0.4813614262560778, 0.07389162561576355, 0.10048622366288493], [0.19889162561576354, 0.46677471636953, 0.023399014778325122, 0.10372771474878444], [0.6136083743842364, 0.37439222042139386, 0.019088669950738917, 0.07941653160453808], [0.6600985221674877, 0.3727714748784441, 0.020935960591133004, 0.07779578606158834], [0.7958743842364532, 0.6677471636952999, 0.04002463054187192, 0.17504051863857376], [0.584051724137931, 0.4505672609400324, 0.04495073891625616, 0.11345218800648298], [0.6000615763546798, 0.5668557536466775, 0.03633004926108374, 0.15316045380875204]]","[[1012.0560813562383, 1284.0197861083373, -180.0], [679.3584620748766, 761.6635125738087, -180.0], [569.2906865163804, 1075.4289334842567, -180.0], [198.8027937363422, 1317.6986627901651, -180.0], [869.1071410114018, 1294.6320392829145, -180.0], [148.45564996096618, 1452.3693500427532, -180.0], [1080.108345385713, 1401.849329438284, -179.99999999999994], [483.14634239629595, 1076.8073211933306, -180.0], [-66.11493667903187, 1122.4515870980752, -180.0], [581.6619253556473, 89.27022448624257, -180.00000000000006], [734.0433223459613, 82.68243261825546, -180.0], [1277.6678407631834, 1471.3748285435393, -180.00000000000006], [737.2751446062575, 739.9779726869485, -180.0], [950.8563317417861, 1248.088855097274, -180.0]]"
camcourt1_1512763413947_0.png,data/KS-FR-STCHAMOND/24320/camcourt1_1512763413947_0.png,"[[0.8103448275862069, 0.5162074554294975, 0.04064039408866995, 0.12965964343598055], [0.6893472906403941, 0.5060777957860616, 0.035098522167487683, 0.11588330632090761], [0.6148399014778325, 0.44692058346839547, 0.03263546798029557, 0.08995137763371151], [0.5323275862068966, 0.45502431118314424, 0.049876847290640396, 0.10291734197730956], [0.43349753694581283, 0.5749594813614263, 0.10591133004926108, 0.11102106969205834], [0.36145320197044334, 0.4914910858995138, 0.0665024630541872, 0.10291734197730956], [0.7195197044334976, 0.4205834683954619, 0.03140394088669951, 0.09076175040518639], [0.45289408866995073, 0.5984602917341977, 0.07327586206896551, 0.1239870340356564], [0.5757389162561576, 0.4728525121555916, 0.03571428571428571, 0.11750405186385737], [0.3706896551724138, 0.4740680713128039, 0.0665024630541872, 0.09076175040518639], [0.5181650246305419, 0.6588330632090762, 0.07943349753694581, 0.1685575364667747], [0.19027093596059114, 0.4639384116693679, 0.04187192118226601, 0.09805510534846029], [0.6499384236453202, 0.38452188006482985, 0.022783251231527094, 0.08670988654781199]]","[[1226.4846904387414, 921.1166040980411, -180.0], [1044.8846915457893, 966.8188717020821, -180.0], [789.0539645234991, 748.4228055259803, -180.0], [618.3133783401657, 840.6660633955041, -180.0], [741.289726803418, 1468.6796641733051, -180.0], [426.8506835347646, 1212.2130072328534, -180.0], [942.0863543679068, 423.3219557142593, -180.00000000000006], [815.1785207375833, 1516.9528183274356, -180.0], [746.7568686533369, 879.9586278613776, -180.0], [421.48283237336807, 1120.276190364026, -180.0], [933.5815897527823, 1586.8415554718408, -180.0], [-37.507615253834274, 1214.550823879595, -180.0], [674.9625727469636, 97.76274564901723, -180.0]]"
camcourt2_1512763413947_0.png,data/KS-FR-STCHAMOND/24320/camcourt2_1512763413947_0.png,"[[0.9818349753694581, 0.5421393841166937, 0.03633004926108374, 0.11831442463533225]]","[[773.0160440625336, 53.63298153323194, -180.00000000000006]]"
camcourt1_1512765933869_0.png,data/KS-FR-STCHAMOND/24320/camcourt1_1512765933869_0.png,"[[0.25061576354679804, 0.5222852512155591, 0.03078817733990148, 0.1353322528363047], [0.5357142857142857, 0.3739870340356564, 0.04187192118226601, 0.07698541329011345], [0.6588669950738916, 0.4189627228525122, 0.03694581280788178, 0.07293354943273905], [0.6477832512315271, 0.4785251215559157, 0.04433497536945813, 0.1239870340356564], [0.5200123152709359, 0.536871961102107, 0.05110837438423645, 0.13695299837925445], [0.7035098522167488, 0.3893841166936791, 0.033866995073891626, 0.0753646677471637], [0.3485221674876847, 0.3918152350081037, 0.019704433497536946, 0.0753646677471637], [0.6259236453201971, 0.42017828200972446, 0.04741379310344827, 0.07860615883306321], [0.5431034482758621, 0.4153160453808752, 0.02832512315270936, 0.09643435980551053], [0.48860837438423643, 0.38371150729335496, 0.022783251231527094, 0.09481361426256078], [0.48552955665024633, 0.4947325769854133, 0.033866995073891626, 0.11750405186385737], [0.3380541871921182, 0.4586709886547812, 0.024630541871921183, 0.11507293354943274], [0.3168103448275862, 0.5854943273905997, 0.04125615763546798, 0.15153970826580226]]","[[290.38232861217307, 1371.6849279793996, -180.0], [316.18858216416584, 120.18571973242115, -180.0], [802.1886758676545, 554.5950635049649, -180.0], [898.8487418413208, 860.0378196878605, -180.0], [789.2017256620791, 1221.8346726160198, -180.0], [846.1894395610182, 168.78449921134006, -180.00000000000006], [-53.772282245990255, 595.0363549637239, -180.0], [754.2474762540511, 557.6242505880305, -180.0], [537.8554473081235, 514.2084125698639, -180.0], [227.07754567851453, 238.00615210176557, -180.0], [645.0921470430969, 1082.2796508232486, -180.0], [228.72723639143715, 996.1216399946134, -180.0], [572.5639609533723, 1518.077105487239, -180.0]]"
camcourt2_1512765933869_0.png,data/KS-FR-STCHAMOND/24320/camcourt2_1512765933869_0.png,"[[0.7195197044334976, 0.3772285251215559, 0.025246305418719212, 0.08022690437601297], [0.6970443349753694, 0.3687196110210697, 0.022167487684729065, 0.07617504051863858]]","[[904.8586660469703, 61.007040574463645, -180.0], [826.2254372527336, -19.60616753152908, -179.99999999999994]]"
camcourt1_1513710529019_0.png,data/KS-FR-BLOIS/24330/camcourt1_1513710529019_0.png,"[[0.6822660098522167, 0.3038897893030794, 0.01847290640394089, 0.09724473257698542]]","[[723.7031116811712, -45.85429818104694, -180.0]]"
camcourt2_1513710529019_0.png,data/KS-FR-BLOIS/24330/camcourt2_1513710529019_0.png,"[[0.28263546798029554, 0.7358184764991896, 0.04433497536945813, 0.1426256077795786], [0.7096674876847291, 0.5405186385737439, 0.05972906403940887, 0.16369529983792544], [0.708128078817734, 0.4051863857374392, 0.06157635467980296, 0.10372771474878444], [0.4233374384236453, 0.330226904376013, 0.046182266009852216, 0.10777957860615883], [0.3217364532019704, 0.5020259319286872, 0.03633004926108374, 0.13695299837925445], [0.14716748768472906, 0.619935170178282, 0.06157635467980296, 0.12155591572123177], [0.6896551724137931, 0.6377633711507293, 0.0812807881773399, 0.1393841166936791], [0.5751231527093597, 0.37236628849270664, 0.04310344827586207, 0.11102106969205834], [0.38700738916256155, 0.36223662884927066, 0.042487684729064036, 0.11183144246353323], [0.35314039408866993, 0.4740680713128039, 0.042487684729064036, 0.1280388978930308], [0.2669334975369458, 0.5583468395461912, 0.049876847290640396, 0.12965964343598055], [0.6702586206896551, 0.2901134521880065, 0.025246305418719212, 0.08914100486223663], [0.7318349753694581, 0.32050243111831445, 0.03140394088669951, 0.09481361426256078], [0.29248768472906406, 0.32576985413290116, 0.02832512315270936, 0.07779578606158834]]","[[599.6846987087993, 1611.7170956594875, -180.0], [1015.7754359417618, 953.3221058457159, -180.0], [926.0888866431615, 472.76855901670797, -180.0], [209.7243773499963, 445.6772681719085, -180.0], [356.5303321577235, 1086.4001593968203, -180.0], [295.0123076240561, 1496.6053986610104, -180.0], [1049.6321614242229, 1182.9145300925827, -180.0], [616.5227503374681, 447.2769705526216, -180.0], [228.09072814693172, 558.7439591811985, -180.0], [369.99881360399195, 990.3696769816422, -180.0], [358.46095859007073, 1282.5984953100608, -180.0], [696.8690161769837, -31.342553293945457, -180.0], [883.3733445281302, 47.88743707789081, -180.0], [-101.73531412123702, 487.61332721253393, -180.0]]"
camcourt1_1513710808980_0.png,data/KS-FR-BLOIS/24330/camcourt1_1513710808980_0.png,"[[0.7620073891625616, 0.32455429497568883, 0.02894088669950739, 0.10615883306320907]]","[[935.8069404982082, 5.470809137123524, -180.0]]"
